title,authors,keywords,abstract,date,cite_num,doi
Deep Multi-view Stereo for Dense 3D Reconstruction from Monocular Endoscopic Video.,"[{'@pid': '275/6835', 'text': 'Gwangbin Bae'}, {'@pid': '08/8939', 'text': 'Ignas Budvytis'}, {'@pid': '216/5300', 'text': 'Chung-Kwong Yeung'}, {'@pid': 'c/RobertoCipolla', 'text': 'Roberto Cipolla'}]","['Multi-viewstereo', '3Dreconstruction', 'Endoscopy']","3D reconstruction from monocular endoscopic images is a challenging task. State-of-the-art multi-view stereo (MVS) algorithms based on image patch similarity often fail to obtain a dense reconstruction from weakly-textured endoscopic images. In this paper, we present a novel deep-learning-based MVS algorithm that can produce a dense and accurate 3D reconstruction from a monocular endoscopic image sequence. Our method consists of three key steps. Firstly, a number of depth candidates are sampled around the depth prediction made by a pre-trained CNN. Secondly, each candidate is projected to the other images in the sequence, and the matching score is measured using a patch embedding network that maps each image patch into a compact embedding. Finally, the candidate with the highest score is selected for each pixel. Experiments on colonoscopy videos demonstrate that our patch embedding network outperforms zero-normalized cross-correlation and a state-of-the-art stereo matching network in terms of matching accuracy and that our MVS algorithm produces several degrees of magnitude denser reconstruction than the competing methods when same accuracy filtering is applied.",2020/9/29,1,10.1007/978-3-030-59716-0_74
Deep Placental Vessel Segmentation for Fetoscopic Mosaicking.,"[{'@pid': '159/3825', 'text': 'Sophia Bano'}, {'@pid': '80/9881', 'text': 'Francisco Vasconcelos'}, {'@pid': '270/0724', 'text': 'Luke M. Shepherd'}, {'@pid': '61/5832', 'text': 'Emmanuel B. Vander Poorten'}, {'@pid': '99/4387', 'text': 'Tom Vercauteren'}, {'@pid': '40/2838', 'text': 'S¨¦bastien Ourselin'}, {'@pid': '168/5581', 'text': 'Anna L. David'}, {'@pid': '168/5453', 'text': 'Jan Deprest'}, {'@pid': '53/3543', 'text': 'Danail Stoyanov'}]","['Fetoscopy', 'Deeplearning', 'Vesselsegmentation', 'Vesselregistration', 'Mosaicking', 'Twin-to-twintransfusionsyndrome']","During fetoscopic laser photocoagulation, a treatment for twin-to-twin transfusion syndrome (TTTS), the clinician first identifies abnormal placental vascular connections and laser ablates them to regulate blood flow in both fetuses. The procedure is challenging due to the mobility of the environment, poor visibility in amniotic fluid, occasional bleeding, and limitations in the fetoscopic field-of-view and image quality. Ideally, anastomotic placental vessels would be automatically identified, segmented and registered to create expanded vessel maps to guide laser ablation, however, such methods have yet to be clinically adopted. We propose a solution utilising the U-Net architecture for performing placental vessel segmentation in fetoscopic videos. The obtained vessel probability maps provide sufficient cues for mosaicking alignment by registering consecutive vessel maps using the direct intensity-based technique. Experiments on 6 different in vivo fetoscopic videos demonstrate that the vessel intensity-based registration outperformed image intensity-based registration approaches showing better robustness in qualitative and quantitative comparison. We additionally reduce drift accumulation to negligible even for sequences with up?to 400 frames and we incorporate a scheme for quantifying drift error in the absence of the ground-truth. Our paper provides a benchmark for fetoscopy placental vessel segmentation and registration by contributing the first in vivo vessel segmentation and fetoscopic videos dataset.",2020/9/29,1,10.1007/978-3-030-59716-0_73
Source-Relaxed Domain Adaptation for Image Segmentation.,"[{'@pid': '246/4942', 'text': 'Mathilde Bateson'}, {'@pid': '150/6611', 'text': 'Hoel Kervadec'}, {'@pid': '165/8035', 'text': 'Jose Dolz'}, {'@pid': '92/1233', 'text': 'Herv¨¦ Lombaert'}, {'@pid': '68/4478', 'text': 'Ismail Ben Ayed'}]","['Imagesegmentation', 'Domainadaptation', 'Entropyminimization']","Domain adaptation (DA) has drawn high interests for its capacity to adapt a model trained on labeled source data to perform well on unlabeled or weakly labeled target data from a different domain. Most common DA techniques require the concurrent access to the input images of both the source and target domains. However, in practice, it is common that the source images are not available in the adaptation phase. This is a very frequent DA scenario in medical imaging, for instance, when the source and target images come from different clinical sites. We propose a novel formulation for adapting segmentation networks, which relaxes such a constraint. Our formulation is based on minimizing a label-free entropy loss defined over target-domain data, which we further guide with a domain-invariant prior on the segmentation regions. Many priors can be used, derived from anatomical information. Here, a class-ratio prior is learned via an auxiliary network and integrated in the form of a Kullback¨CLeibler (KL) divergence in our overall loss function. We show the effectiveness of our prior-aware entropy minimization in adapting spine segmentation across different MRI modalities. Our method yields comparable results to several state-of-the-art adaptation techniques, even though is has access to less information, the source images being absent in the adaptation phase. Our straight-forward adaptation strategy only uses one network, contrary to popular adversarial techniques, which cannot perform without the presence of the source images. Our framework can be readily used with various priors and segmentation problems.",2020/9/29,1,10.1007/978-3-030-59710-8_48
Scale-Space Autoencoders for Unsupervised Anomaly Segmentation in Brain MRI.,"[{'@pid': '73/5647', 'text': 'Christoph Baur'}, {'@pid': '165/7294', 'text': 'Benedikt Wiestler'}, {'@pid': '165/7751', 'text': 'Shadi Albarqouni'}, {'@pid': 'n/NassirNavab', 'text': 'Nassir Navab'}]","['Anomalysegmentation', 'Anomalydetection', 'Unsupervised', 'Laplacianpyramid', 'Scalespace', 'Autoencoders', 'BrainMRI']","Brain pathologies can vary greatly in size and shape, ranging from few pixels (i.e. MS lesions) to large, space-occupying tumors. Recently proposed Autoencoder-based methods for unsupervised anomaly segmentation in brain MRI have shown promising performance, but face difficulties in modeling distributions with high fidelity, which is crucial for accurate delineation of particularly small lesions. Here, similar to these previous works, we model the distribution of healthy brain MRI to localize pathologies from erroneous reconstructions. However, to achieve improved reconstruction fidelity at higher resolutions, we learn to compress and reconstruct different frequency bands of healthy brain MRI using the laplacian pyramid. In a range of experiments comparing our method to different State-of-the-Art approaches on three different brain MR datasets with MS lesions and tumors, we show improved anomaly segmentation performance and the general capability to obtain much more crisp reconstructions of input data at native resolution. The modeling of the laplacian pyramid further enables the delineation and aggregation of lesions at multiple scales, which allows to effectively cope with different pathologies and lesion sizes using a single model.",2020/9/29,1,10.1007/978-3-030-59719-1_54
Inferring the 3D Standing Spine Posture from 2D Radiographs.,"[{'@pid': '257/3280', 'text': 'Amirhossein Bayat'}, {'@pid': '198/0458', 'text': 'Anjany Sekuboyina'}, {'@pid': '239/8775', 'text': 'Johannes C. Paetzold'}, {'@pid': '167/9663', 'text': 'Christian Payer'}, {'@pid': '02/8488', 'text': 'Darko Stern'}, {'@pid': '68/309', 'text': 'Martin Urschler'}, {'@pid': '181/6853', 'text': 'Jan S. Kirschke'}, {'@pid': '74/6505', 'text': 'Bjoern H. Menze'}]","['3Dreconstruction', 'Fullyconvolutionalneworks', 'Spineposture', 'Digitallyreconstructedradiographs']","The treatment of degenerative spinal disorders requires an understanding of the individual spinal anatomy and curvature in 3D. An upright spinal pose (i.e. standing) under natural weight bearing is crucial for such bio-mechanical analysis. 3D volumetric imaging modalities (e.g. CT and MRI) are performed in patients lying down. On the other hand, radiographs are captured in an upright pose, but result in 2D projections. This work aims to integrate the two realms, i.e. it combines the upright spinal curvature from radiographs with the 3D vertebral shape from CT imaging for synthesizing an upright 3D model of spine, loaded naturally. Specifically, we propose a novel neural network architecture working vertebra-wise, termed TransVert, which takes orthogonal 2D radiographs and infers the spine¡¯s 3D posture. We validate our architecture on digitally reconstructed radiographs, achieving a 3D reconstruction Dice of \(95.52\%\), indicating an almost perfect 2D-to-3D domain translation. Deploying our model on clinical radiographs, we successfully synthesise full-3D, upright, patient-specific spine models for the first time
.",2020/9/29,1,10.1007/978-3-030-59725-2_75
Spectral-spatial Recurrent-Convolutional Networks for In-Vivo Hyperspectral Tumor Type Classification.,"[{'@pid': '241/6119', 'text': 'Marcel Bengs'}, {'@pid': '217/1525', 'text': 'Nils Gessert'}, {'@pid': '187/1717', 'text': 'Wiebke Laffers'}, {'@pid': '263/7583', 'text': 'Dennis Eggert'}, {'@pid': '187/2123', 'text': 'Stephan Westermann'}, {'@pid': '187/1815', 'text': 'Nina A. M¨¹ller'}, {'@pid': '187/1714', 'text': 'Andreas O. H. Gerstner'}, {'@pid': '80/218', 'text': 'Christian Betz'}, {'@pid': '08/5407', 'text': 'Alexander Schlaefer'}]","['Hyperspectralimaging', 'Headandneckcancer', 'Spatio-spectraldeeplearning']","Early detection of cancerous tissue is crucial for long-term patient survival. In the head and neck region, a typical diagnostic procedure is an endoscopic intervention where a medical expert manually assesses tissue using RGB camera images. While healthy and tumor regions are generally easier to distinguish, differentiating benign and malignant tumors is very challenging. This requires an invasive biopsy, followed by histological evaluation for diagnosis. Also, during tumor resection, tumor margins need to be verified by histological analysis. To avoid unnecessary tissue resection, a non-invasive, image-based diagnostic tool would be very valuable. Recently, hyperspectral imaging paired with deep learning has been proposed for this task, demonstrating promising results on ex-vivo specimens. In this work, we demonstrate the feasibility of in-vivo tumor type classification using hyperspectral imaging and deep learning. We analyze the value of using multiple hyperspectral bands compared to conventional RGB images and we study several machine learning models¡¯ ability to make use of the additional spectral information. Based on our insights, we address spectral and spatial processing using recurrent-convolutional models for effective spectral aggregating and spatial feature learning. Our best model achieves an AUC of \({76.3\,\mathrm{\%}}\), significantly outperforming previous conventional and deep learning methods.",2020/9/29,1,10.1007/978-3-030-59716-0_66
Topology-Aware Generative Adversarial Network for Joint Prediction of Multiple Brain Graphs from a Single Brain Graph.,"[{'@pid': '226/4917', 'text': 'Alaa Bessadok'}, {'@pid': '44/9613', 'text': 'Mohamed Ali Mahjoub'}, {'@pid': '124/9354', 'text': 'Islem Rekik'}]","['Adversarialbrainmultigraphprediction', 'Geometricdeeplearning', 'MultigraphGAN']","Multimodal medical datasets with incomplete observations present a barrier to large-scale neuroscience studies. Several works based on Generative Adversarial Networks (GAN) have been recently proposed to predict a set of medical images from a single modality (e.g., FLAIR MRI from T1 MRI). However, such frameworks are primarily designed to operate on images, limiting their generalizability to non-Euclidean geometric data such as brain graphs. While a growing number of connectomic studies has demonstrated the promise of including brain graphs for diagnosing neurological disorders, no geometric deep learning work was designed for multiple target brain graphs prediction from a source brain graph. Despite the momentum the field of graph generation has gained in the last two years, existing works have two critical drawbacks. First, the bulk of such works aims to learn one model for each target domain to generate from a source domain. Thus, they have a limited scalability in jointly predicting multiple target domains. Second, they merely consider the global topological scale of a graph (i.e., graph connectivity structure) and overlook the local topology at the node scale of a graph (e.g., how central a node is in the graph). To meet these challenges, we introduce MultiGraphGAN architecture, which not only predicts multiple brain graphs from a single brain graph but also preserves the topological structure of each target graph to predict. Its three core contributions lie in: (i) designing a graph adversarial auto-encoder for jointly predicting brain graphs from a single one, (ii) handling the mode collapse problem of GAN by clustering the encoded source graphs and proposing a cluster-specific decoder, (iii) introducing a topological loss to force the reconstruction of topologically sound target brain graphs. Our MultiGraphGAN significantly outperformed its variants thereby showing its great potential in multi-view brain graph generation from a single graph. Our code is available at https://github.com/basiralab/MultiGraphGAN.",2020/9/29,1,10.1007/978-3-030-59728-3_54
CorrSigNet - Learning CORRelated Prostate Cancer SIGnatures from Radiology and Pathology Images for Improved Computer Aided Diagnosis.,"[{'@pid': '172/7716', 'text': 'Indrani Bhattacharya'}, {'@pid': '271/7842', 'text': 'Arun Seetharaman'}, {'@pid': '24/803', 'text': 'Wei Shao'}, {'@pid': '234/1644', 'text': 'Rewa Sood'}, {'@pid': '239/2003', 'text': 'Christian A. Kunder'}, {'@pid': '141/7829', 'text': 'Richard E. Fan'}, {'@pid': '271/7826', 'text': 'Simon John Christoph Soerensen'}, {'@pid': '271/8527', 'text': 'Jeffrey B. Wang'}, {'@pid': '239/2040', 'text': 'Pejman Ghanouni'}, {'@pid': '271/7985', 'text': 'Nikola C. Teslovich'}, {'@pid': '75/7457', 'text': 'James D. Brooks'}, {'@pid': '192/1630', 'text': 'Geoffrey A. Sonn'}, {'@pid': '50/3569', 'text': 'Mirabela Rusu'}]","['Computeraideddiagnosis', 'CommonrepresentationLearning', 'MRI', 'Histopathologyimages', 'Prostatecancer']","Magnetic Resonance Imaging (MRI) is widely used for screening and staging prostate cancer. However, many prostate cancers have subtle features which are not easily identifiable on MRI, resulting in missed diagnoses and alarming variability in radiologist interpretation. Machine learning models have been developed in an effort to improve cancer identification, but current models localize cancer using MRI-derived features, while failing to consider the disease pathology characteristics observed on resected tissue. In this paper, we propose CorrSigNet, an automated two-step model that localizes prostate cancer on MRI by capturing the pathology features of cancer. First, the model learns MRI signatures of cancer that are correlated with corresponding histopathology features using Common Representation Learning. Second, the model uses the learned correlated MRI features to train a Convolutional Neural Network to localize prostate cancer. The histopathology images are used only in the first step to learn the correlated features. Once learned, these correlated features can be extracted from MRI of new patients (without histopathology or surgery) to localize cancer. We trained and validated our framework on a unique dataset of 75 patients with 806 slices who underwent MRI followed by prostatectomy surgery. We tested our method on an independent test set of 20 prostatectomy patients (139 slices, 24 cancerous lesions, 1.12M pixels) and achieved a per-pixel sensitivity of 0.81, specificity of 0.71, AUC of 0.86 and a per-lesion AUC of \(0.96 \pm 0.07\), outperforming the current state-of-the-art accuracy in predicting prostate cancer using MRI.",2020/9/29,1,10.1007/978-3-030-59713-9_31
BUNET - Blind Medical Image Segmentation Based on Secure UNET.,"[{'@pid': '179/7914', 'text': 'Song Bian 0001'}, {'@pid': '181/2733-4', 'text': 'Xiaowei Xu 0004'}, {'@pid': '151/4529', 'text': 'Weiwen Jiang'}, {'@pid': '94/5536', 'text': 'Yiyu Shi'}, {'@pid': '48/4595', 'text': 'Takashi Sato'}]",[],"The strict security requirements placed on medical records by various privacy regulations become major obstacles in the age of big data. To ensure efficient machine learning as a service schemes while protecting data confidentiality, in this work, we propose blind UNET (BUNET), a secure protocol that implements privacy-preserving medical image segmentation based on the UNET architecture. In BUNET, we efficiently utilize cryptographic primitives such as homomorphic encryption and garbled circuits (GC) to design a complete secure protocol for the UNET neural architecture. In addition, we perform extensive architectural search in reducing the computational bottleneck of GC-based secure activation protocols with high-dimensional input data. In the experiment, we thoroughly examine the parameter space of our protocol, and show that we can achieve up?to 14x inference time reduction compared to the-state-of-the-art secure inference technique on a baseline architecture with negligible accuracy degradation.",2020/9/29,1,10.1007/978-3-030-59713-9_59
Partial Volume Segmentation of Brain MRI Scans of Any Resolution and Contrast.,"[{'@pid': '243/9034', 'text': 'Benjamin Billot'}, {'@pid': '263/7161', 'text': 'Eleanor D. Robinson'}, {'@pid': '27/4108', 'text': 'Adrian V. Dalca'}, {'@pid': '06/5946', 'text': 'Juan Eugenio Iglesias'}]","['Partialvolumesegmentation', 'BrainMRI']","Partial voluming (PV) is arguably the last crucial unsolved problem in Bayesian segmentation of brain MRI with probabilistic atlases. PV occurs when voxels contain multiple tissue classes, giving rise to image intensities that may not be representative of any one of the underlying classes. PV is particularly problematic for segmentation when there is a large resolution gap between the atlas and the test scan, e.g., when segmenting clinical scans with thick slices, or when using a high-resolution atlas. Forward models of PV are realistic and simple, as they amount to blurring and subsampling a high resolution (HR) volume into a lower resolution (LR) scan. Unfortunately, segmentation as Bayesian inference quickly becomes intractable when ¡°inverting¡± this forward PV model, as it requires marginalizing over all possible anatomical configurations of the HR volume. In this work, we present PV-SynthSeg, a convolutional neural network (CNN) that tackles this problem by directly learning a mapping between (possibly multi-modal) LR scans and underlying HR segmentations. PV-SynthSeg simulates LR images from HR label maps with a generative model of PV, and can be trained to segment scans of any desired target contrast and resolution, even for previously unseen modalities where neither images nor segmentations are available at training. PV-SynthSeg does not require any preprocessing, and runs in seconds. We demonstrate the accuracy and flexibility of our method with extensive experiments on three datasets and 2,680 scans. The code is available at https://github.com/BBillot/SynthSeg.
",2020/9/29,1,10.1007/978-3-030-59728-3_18
